Case_Id,First_Name,Middle_Name,Last_Name,Lead_Type,DOB,Description,Mobile_no
203205826,Jagruti,Null,Inani,Suspect,1987-07-19,"Red hair, long nails, face piercings",8649998534
504566439,Kusum,Null,Behl,Neighbour of victim,1976-01-02,"Medium build, bent back, dark skin",7345445611
1299180096,Taahid,Raju,Pathak,Neighbour of victim,1971-04-09,"Freckles on face, long hair, green eyes",7514154704
444608128,Vikrant,Singh,Nori,Neighbour of victim,1974-12-18,"Overweight man, has difficulty in walking",9667018003
1073790061,Urmi,Raj,Mittal,Friend of victim,1989-08-12,"Freckles on face, long beard and dark skin",8995280655
1167231967,Urvashi,Nupur,Kibe,Parent of victim,2000-05-03,"Red hair, pale eyes",7687368867
910963059,Farah,Parminder,Prashad,Suspect,1961-08-10,"Short and stout man, black hair",9162819738
1980303919,Bagwati,Himesh,Sami,Suspect,1988-10-13,"Bald man with long beard, Muscular",7318797176
1381266096,Ritika,Madhavi,Sheth,Suspect,2002-08-25,"Muscular and athletic, dark skin",9648142422
1356680813,Veena,Singh,Boase,Suspect,1970-11-18,"Short, black hair, green eyes",8930671688
1166129318,Eddie,Singh,Nori,Witness,1996-04-20,"Bald man with long beard, Muscular",9884669674
1342336747,Trishana,Null,Ahluwalia,Witness,2001-05-09,"Brown male, approximately six feet tall with a medium build",7739092349
1500151558,Moti,Null,Panchal,Witness,1960-04-16,"Tall, long hair, Tattoo on knuckles",8176142708
1754297261,Shweta,Null,Hari,Witness,1973-12-02,"Multiple ear piercings, red hair, fair complexion",7640533744
1037317897,Niyati,Null,Upadhyay,Neighbour of victim,2004-12-01,"Distinct speech, red hair, multiple face moles",9245288680
727333184,Neerendra,Null,Dasgupta,Neighbour of victim,1981-04-14,"Gray hair, cannot walk, wears bifocals",7341401952
921185056,Rajesh,Null,Raja,Neighbour of victim,1972-12-26,"Young, wheatish complection, Bald and stout",8608705520
245377563,Niyati,Null,Joshi,Neighbour of victim,1985-11-21,"Young, wheatish complection, Bald and stout",8537345753
1417484869,Bhanupriya,Null,Sunder,Neighbour of victim,1997-08-06,"Gray hair, cannot walk, wears bifocals",8784484480
763410527,Isha,Null,Contractor,Neighbour of victim,1977-05-09,"Short, black hair, green eyes",8591366154
374375907,Rachel,Null,Gulati,Witness,1977-05-15,"Multiple ear piercings, red hair, fair complexion",7649362325
895772237,Nilam,Khan,Mammen,Witness,1999-09-25,"Bald man with long beard, Muscular",9175428098
1333217203,Gowri,Anna,Patel,Suspect,1969-10-11,"Brown male, approximately six feet tall with a medium build",8120062370
652930834,Yamini,Singh,Koshy,Suspect,1961-06-30,"Tall, long hair, Tattoo on knuckles",7360347092
272645873,Rakhi,Kil,Thakur,Suspect,1990-12-19,"Distinct speech, red hair, multiple face moles",8895016202
1872142666,Hira,Singh,Madan,Suspect,1977-01-14,"White male, approximately six feet tall with a medium build",7243331808
695672187,Amolika,Kaur,Prasad,Parent of victim,1970-04-06,"Freckles on face, long beard and dark skin",9324854141
2112313298,Javed,Ali,Muni,Friend of victim,1998-05-08,"Gray hair, old, soft voice",7668619614
1778960224,Nitin,Raj,Kapoor,Suspect,1967-10-02,"Needs a walking stick, gray hair and shallow speech",7257911976
1028951380,Nawab,Krishna,Wadhwa,Suspect,1984-07-23,"Athletic build, long legs, thin and has face tatto",9019455537
698641399,Krishna,Poonam,Choudhury,Suspect,1984-11-18,"Wears bifocals, pink hair, tatto on wrist",9295577163
1369477670,Elias,Dipti,Sarna,Friend of victim,1982-03-21,"Wears spectacles, dislocated shoulder",7394803230
314761517,Jayshree,Savita,Manda,Parent of victim,1979-06-25,"Young, wheatish complection, Bald and stout",8796962788
917857437,Devendra,Ram,Minhas,Suspect,1964-02-01,"Tall, long hair, Tattoo on knuckles",9402637264
2036602069,Sai,Rajendra,Nagar,Parent of victim,2005-07-07,"Tall, thin, has pale eyes and bent back",9502813987
1573424983,Devika,Kajal,Chawla,Suspect,1991-11-29,"Distinct rings on each finger, short and fat man",8668856775
1449940407,Jyoti,Yadav,Saran,Suspect,1999-06-20,"4'3, female, shrill voice, short hair",8241799885
842958363,Aayushi,Null,Ghosh,Suspect,2005-03-18,"Distinct speech, red hair, multiple face moles",9145550409
1599478539,Rosey,Null,Nanda,Suspect,1996-12-29,"Multiple ear piercings, red hair, fair complexion",8890835226
1986592830,Omar,Null,Persad,Suspect,1980-08-31,"Tall and lean, distinct voice",8236359118
2047901384,Habib,Null,Solanki,Suspect,1982-08-21,"Red hair, pale eyes",9842916783
2017024418,Leela,Null,Sama,Suspect,1999-08-25,"Short and stout man, black hair",8772468871
474585454,Nilima,Null,Chaudhari,Parent of victim,1962-02-28,"Bald man with long beard, Muscular",9592948597
35252811,Diya,Null,Shukla,Witness,1960-10-02,"Muscular and athletic, dark skin",8357575826
880851031,Sai,Null,Biyani,Witness,1993-05-26,"Tall, long hair, Tattoo on knuckles",9250915205
988273248,Ganesh,Null,Ganesh,Witness,1978-06-03,"Young, fair complexion, brown hair with red streaks",9853845698
471848911,Krishna,Null,Chandran,Witness,1965-11-18,"Short and stout, small feet and black hair",8030680239
1190149899,Astha,Fahid,Maharaj,Witness,1972-09-02,"Short, black hair, green eyes",8911833836
884078044,Wahid,Khan,Sagar,Witness,1965-05-26,"Freckles on face, long beard and dark skin",8200776647
1664896739,Lalita,Dam,Issac,Suspect,1967-02-16,"Tall and lean, distinct voice",7852551621
2099921108,Bimla,Rao,Dave,Neighbour of victim,1991-07-10,"Tall, approximately six feet, tattoos on waist",8330819411
2065377368,Bagwati,Sanm,Iyengar,Friend of victim,2004-06-27,"Young, fair complexion, brown hair with red streaks",7888812951
1181013776,Mehul,Ahuja,Persad,Friend of victim,1963-06-03,"Short and stout, small feet and black hair",7952643363
1990944604,Jayshree,Rana,Rai,Friend of victim,1968-04-04,"Tall and lean, distinct voice",8672870536
1051617079,Kasturba,Gandhi,Srinivasan,Witness,1964-12-01,"Brown male, approximately six feet tall with a medium build",9883440134
1161849004,Chhavi,Deep,Balan,Witness,1990-10-24,"Short and stout, small feet and black hair",7331973189
541414062,Amir,Khan,De,Suspect,1992-10-25,"Freckles on face, long beard and dark skin",8490925338
2050050402,Rachel,Null,Divan,Suspect,1974-12-01,"Tall and lean, distinct voice",8992660162
911357248,Hemendra,Null,Mehta,Suspect,1969-12-05,"Bald man with long beard, Muscular",9766708969
2048236920,Karim,Null,Cheema,Suspect,1979-08-31,"Tall, long hair, Tattoo on knuckles",8371587560
1535189399,Nirmal,Null,Narain,Witness,2004-02-05,"Muscular and athletic, dark skin",9565843061
1318978313,Nayan,Null,Raju,Friend of victim,1995-04-30,"Red hair, long nails, face piercings",9162946207
1720962522,Zeenat,Null,Munshi,Friend of victim,1990-02-11,"Medium build, bent back, dark skin",8314632929
1402458714,Isha,Null,De,Witness,1988-01-12,"Tall and lean, distinct voice, freckles on face",8154469995
1565548721,Hanuman,Null,Meka,Witness,1992-03-27,"Gray hair, cannot walk, wears bifocals",7649377270
